Algoritma,Hesaplama_Suresi_ms,Ziyaret_Edilen_Dugum,Yol_Uzunlugu_m
D* Lite,0.2953,10,0.9000
D* Lite,0.1971,9,0.8414
D* Lite,0.1371,8,0.7414
D* Lite,0.1627,7,0.6000
D* Lite,0.1468,6,0.5000
Dijkstra,312.3413,25445,10.7995
Dijkstra,224.5711,18576,12.0581
Dijkstra,216.0178,18576,12.0581
Dijkstra,212.8067,18576,12.0581
Dijkstra,211.4490,18576,12.0581
Dijkstra,213.5868,18576,12.0581
Dijkstra,215.0773,18576,12.0581
Dijkstra,213.4250,18576,12.0581
Dijkstra,210.7991,18576,12.0581
Dijkstra,217.1797,18576,12.0581
Dijkstra,216.4445,18576,12.0581
Dijkstra,214.3841,18576,12.0581
Dijkstra,216.0431,18576,12.0581
Dijkstra,225.5693,18576,12.0581
Dijkstra,218.1167,18576,12.0581
Dijkstra,219.9532,18576,12.0581
Dijkstra,214.1280,18576,12.0581
Dijkstra,207.7385,18576,12.0581
Dijkstra,223.6163,18576,12.0581
Dijkstra,214.3593,18576,12.0581
Dijkstra,216.0448,18576,12.0581
Dijkstra,216.7622,18576,12.0581
Dijkstra,227.6254,18576,12.0581
Dijkstra,217.7898,18576,12.0581
Dijkstra,212.1648,18576,12.0581
Dijkstra,233.2705,18576,12.0581
Dijkstra,212.3129,18576,12.0581
Dijkstra,217.9881,18565,12.0581
Dijkstra,220.9663,18564,12.0581
Dijkstra,219.2229,18564,12.0581
Dijkstra,220.9996,18564,12.0581
Dijkstra,230.3875,18564,12.0581
Dijkstra,217.5450,18564,12.0581
